episode,agent_id,pos_x,pos_y,total_reward,food_collected,collisions,random_actions,greedy_actions,epsilon
106,0,4,7,-60,4,2,5,95,0.05848838636585915
106,1,5,0,-40,6,3,8,92,0.05848838636585915
106,2,0,2,-65,6,5,4,96,0.05848838636585915
107,0,2,7,-90,1,2,5,95,0.05819594443402985
107,1,4,9,-70,4,6,5,95,0.05819594443402985
107,2,4,2,-70,5,4,7,93,0.05819594443402985
108,0,2,2,-50,5,0,9,91,0.057904964711859706
108,1,7,6,-60,4,6,7,93,0.057904964711859706
108,2,7,0,-70,6,6,5,95,0.057904964711859706
109,0,5,2,-30,7,3,8,92,0.05761543988830041
109,1,1,2,-60,5,3,3,97,0.05761543988830041
109,2,1,0,-30,8,2,4,96,0.05761543988830041
110,0,7,6,-60,4,3,4,96,0.05732736268885891
110,1,8,8,-45,7,9,5,95,0.05732736268885891
110,2,7,8,-100,3,6,8,92,0.05732736268885891
111,0,5,0,-80,2,7,7,93,0.05704072587541461
111,1,6,0,-50,7,5,5,95,0.05704072587541461
111,2,4,0,-70,5,4,6,94,0.05704072587541461
112,0,1,6,-50,5,0,3,97,0.05675552224603753
112,1,8,5,-40,6,0,2,98,0.05675552224603753
112,2,2,1,-20,8,0,3,97,0.05675552224603753
113,0,1,5,-60,4,0,6,94,0.05647174463480734
113,1,7,3,-80,2,1,3,97,0.05647174463480734
113,2,7,1,-75,3,1,4,96,0.05647174463480734
114,0,2,8,-60,4,9,7,93,0.056189385911633305
114,1,5,2,-100,3,10,5,95,0.056189385911633305
114,2,1,8,-105,3,7,5,95,0.056189385911633305
115,0,0,3,-40,6,1,5,95,0.05590843898207514
115,1,6,7,-25,8,1,9,91,0.05590843898207514
115,2,4,1,-50,5,0,11,89,0.05590843898207514
116,0,1,7,-60,4,2,5,95,0.05562889678716477
116,1,8,8,-55,5,1,2,98,0.05562889678716477
116,2,5,9,-45,6,1,6,94,0.05562889678716477
117,0,7,0,-40,6,0,8,92,0.055350752303228945
117,1,3,5,-10,9,0,10,90,0.055350752303228945
117,2,3,9,-40,6,0,3,97,0.055350752303228945
118,0,5,0,-70,3,3,4,96,0.0550739985417128
118,1,3,5,-80,2,0,4,96,0.0550739985417128
118,2,7,0,-25,9,3,4,96,0.0550739985417128
119,0,2,3,-70,3,0,3,97,0.05479862854900423
119,1,1,2,-50,5,0,2,98,0.05479862854900423
119,2,5,4,-40,6,0,4,96,0.05479862854900423
120,0,3,9,-80,2,0,5,95,0.05452463540625921
120,1,6,0,-50,5,2,5,95,0.05452463540625921
120,2,4,4,-100,1,2,4,96,0.05452463540625921
121,0,3,9,-20,8,2,8,92,0.05425201222922791
121,1,4,1,-15,9,1,2,98,0.05425201222922791
121,2,1,5,-35,7,1,5,95,0.05425201222922791
122,0,1,6,-50,5,1,5,95,0.05398075216808177
122,1,7,9,-25,8,2,9,91,0.05398075216808177
122,2,4,7,-65,4,1,5,95,0.05398075216808177
123,0,9,9,-70,3,2,7,93,0.053710848407241364
123,1,2,5,-90,1,5,2,98,0.053710848407241364
123,2,5,0,-95,4,7,4,96,0.053710848407241364
124,0,8,5,-60,4,5,5,95,0.053442294165205156
124,1,6,4,-50,6,6,4,96,0.053442294165205156
124,2,9,0,-115,2,7,9,91,0.053442294165205156
125,0,8,4,-70,3,3,8,92,0.05317508269437913
125,1,1,1,-70,4,5,5,95,0.05317508269437913
125,2,4,1,-80,4,4,2,98,0.05317508269437913
126,0,8,0,-50,5,1,5,95,0.052909207280907235
126,1,4,5,-30,7,0,3,97,0.052909207280907235
126,2,5,7,-65,4,1,6,94,0.052909207280907235
127,0,3,7,-80,2,3,2,98,0.0526446612445027
127,1,2,7,-85,3,3,4,96,0.0526446612445027
127,2,4,1,-70,3,0,6,94,0.0526446612445027
128,0,3,8,-50,5,4,4,96,0.052381437938280186
128,1,6,1,-80,3,4,4,96,0.052381437938280186
128,2,8,1,-60,6,4,6,94,0.052381437938280186
129,0,9,3,-80,2,1,3,97,0.052119530748588785
129,1,8,9,-85,2,9,10,90,0.052119530748588785
129,2,9,7,-120,2,8,1,99,0.052119530748588785
130,0,3,0,-40,6,1,5,95,0.05185893309484584
130,1,5,1,-75,3,1,7,93,0.05185893309484584
130,2,3,9,-70,3,0,3,97,0.05185893309484584
131,0,6,2,-70,3,1,8,92,0.05159963842937161
131,1,2,4,-25,8,1,5,95,0.05159963842937161
131,2,9,1,-70,3,0,10,90,0.05159963842937161
132,0,9,4,-80,2,2,6,94,0.051341640237224755
132,1,8,4,-80,3,2,4,96,0.051341640237224755
132,2,5,8,-50,5,0,2,98,0.051341640237224755
133,0,3,3,-60,4,0,2,98,0.05108493203603863
133,1,4,4,-40,6,0,5,95,0.05108493203603863
133,2,0,9,-40,6,0,5,95,0.05108493203603863
134,0,6,8,-20,8,0,6,94,0.05082950737585844
134,1,9,4,-50,5,0,2,98,0.05082950737585844
